segment,count,mean_return,median_return,std_return
HIGH_VOL_HIGH_CONFLICT,639,-0.00010331185009095202,-3.467901511582652e-05,0.01261970343557752
LOW_VOL_LOW_CONFLICT,3857,3.493900909084837e-05,-7.587939098684285e-05,0.0036505213078428167
STRONG_BODY_HIGH_CONFLICT,1842,-3.546159882113332e-05,-5.492404295565239e-05,0.006481700717811259
STRONG_BODY_LOW_CONFLICT,2851,8.230227332310582e-05,4.7550748977079295e-05,0.00874090466085014
