timestamp,open,high,low,close,volume,delta,spread,body,upper_wick,lower_wick,volume_class
2026-05-11 10:30:00,81152.92,81182.8,80954.92,81019.86,6516.65,-848.28,227.88,133.06,29.88,64.94,climax
2026-05-11 12:15:00,81052.09,81297.93,81036.5,81258.55,6408.11,428.33,261.43,206.46,39.38,15.59,climax
2026-05-11 12:30:00,81245.4,81326.2,81113.7,81127.5,5994.26,-776.22,212.5,117.9,80.8,13.8,climax
2026-05-11 18:00:00,81883.97,82048.4,81863.6,81917.0,6985.41,-669.14,184.8,33.03,131.4,20.37,stopping
2026-05-11 18:30:00,81987.88,82094.07,81892.1,81916.14,5775.68,-920.7,201.97,71.74,106.19,24.04,stopping
2026-05-11 18:45:00,81928.02,82040.4,81799.14,81811.7,6442.81,-856.97,241.26,116.32,112.39,12.56,stopping
2026-05-11 19:15:00,81871.0,82041.95,81777.2,81847.46,6199.0,-1612.17,264.75,23.54,170.95,70.26,stopping
2026-05-11 21:15:00,81658.38,81712.9,81597.92,81600.2,7415.99,-308.26,114.98,58.18,54.52,2.28,stopping
2026-05-12 04:00:00,81021.26,81044.5,80967.64,80982.6,10036.47,-250.29,76.86,38.66,23.24,14.96,stopping
2026-05-12 04:45:00,81229.77,81285.6,81178.01,81178.01,8425.02,496.24,107.59,51.76,55.83,0.0,stopping
2026-05-15 00:00:00,81040.61,81416.2,81027.3,81416.2,7149.18,2085.11,388.9,375.59,0.0,13.31,climax
2026-05-15 13:00:00,80337.89,80337.89,80029.7,80081.97,10193.57,-1453.76,308.19,255.92,0.0,52.27,climax
2026-05-16 09:15:00,78219.07,78233.35,77872.61,78001.3,8629.6,-354.97,360.74,217.77,14.28,128.69,climax
2026-05-16 18:45:00,78222.71,78293.1,78186.8,78208.8,3579.52,650.91,106.3,13.91,70.39,22.0,stopping
2026-05-16 22:30:00,78233.37,78237.22,78185.1,78187.0,5283.82,-1324.48,52.12,46.37,3.85,1.9,stopping
2026-05-16 22:45:00,78184.96,78193.4,78150.4,78150.5,6195.68,-1499.15,43.0,34.46,8.43,0.1,stopping
2026-05-16 23:15:00,78153.33,78239.9,78153.33,78181.5,5637.69,20.41,86.57,28.17,58.4,0.0,climax
2026-05-16 23:30:00,78192.27,78218.73,78162.1,78174.4,5459.75,141.15,56.63,17.87,26.46,12.3,stopping
2026-05-16 23:45:00,78175.04,78196.43,78088.88,78104.8,6339.25,-589.89,107.55,70.24,21.39,15.92,stopping
2026-05-17 00:00:00,78115.42,78207.8,78103.7,78162.4,7747.17,-1222.63,104.1,46.98,45.4,11.72,climax
2026-05-17 00:30:00,78156.77,78190.8,78088.0,78088.0,7069.72,-1895.23,102.8,68.77,34.03,0.0,stopping
2026-05-17 00:45:00,78103.91,78115.3,77755.0,77878.5,9805.28,-2359.13,360.3,225.41,11.39,123.5,climax
2026-05-17 01:00:00,77894.11,78074.74,77786.51,78021.3,7565.71,1067.98,288.23,127.19,53.44,107.59,climax
