lag,mean_return,median_return,std_return
8,0.0009076210539859538,0.0008365187578460143,0.006976572579125995
16,0.0009968656822269247,0.0010081134130873314,0.011080782344320765
32,0.0007719861738336442,0.0003032420318102782,0.016085300651765527
64,0.002722412485982522,0.0008420591855213045,0.022921644715328204
